type,odor,gill_size,gill_color,spore_print_color
edible,anise,broad,brown,black
edible,anise,broad,brown,black
edible,anise,broad,black,brown
edible,almond,broad,gray,black
edible,almond,broad,gray,brown
edible,almond,broad,black,black
edible,none,broad,pink,black
edible,almond,narrow,pink,brown
poisonous,pungent,narrow,pink,black
edible,none,broad,black,black
edible,almond,broad,white,black
edible,anise,narrow,white,brown
edible,almond,broad,brown,black
edible,anise,broad,gray,black
edible,none,broad,pink,brown
edible,anise,broad,black,brown
edible,anise,broad,gray,brown
edible,almond,broad,pink,black
edible,none,broad,brown,brown
edible,anise,broad,white,black
poisonous,pungent,narrow,brown,brown
edible,anise,broad,brown,black
edible,almond,narrow,pink,brown
edible,almond,broad,gray,brown
poisonous,pungent,narrow,black,black
edible,almond,narrow,white,brown
edible,almond,broad,black,black
edible,anise,narrow,brown,brown
edible,anise,narrow,white,brown
edible,anise,broad,black,brown
edible,almond,narrow,white,purple
edible,almond,broad,white,black
edible,almond,broad,brown,black
edible,anise,broad,pink,brown
edible,anise,broad,black,black
edible,almond,broad,brown,brown
poisonous,pungent,narrow,brown,brown
edible,anise,broad,white,black
edible,almond,broad,gray,black
poisonous,pungent,narrow,white,black
edible,anise,broad,brown,black
edible,anise,broad,white,brown
edible,almond,broad,brown,black
edible,anise,broad,gray,brown
edible,none,broad,pink,black
edible,almond,broad,white,black
edible,anise,broad,brown,brown
edible,none,narrow,gray,brown
edible,anise,broad,brown,black
edible,almond,broad,black,brown
edible,almond,broad,brown,black
edible,almond,broad,gray,black
edible,almond,narrow,pink,brown
edible,anise,broad,gray,brown
edible,none,broad,brown,brown
edible,anise,narrow,brown,brown
edible,almond,broad,brown,brown
edible,none,broad,brown,black
edible,none,narrow,gray,brown
edible,none,broad,chocolate,brown
edible,almond,broad,pink,brown
edible,almond,broad,black,brown
edible,almond,broad,black,black
edible,anise,broad,white,black
edible,none,narrow,gray,brown
edible,almond,broad,pink,brown
poisonous,pungent,narrow,black,black
edible,almond,broad,pink,brown
edible,almond,broad,white,brown
edible,none,broad,chocolate,brown
edible,none,broad,pink,black
edible,none,broad,black,black
edible,almond,broad,brown,brown
edible,almond,broad,white,black
edible,none,narrow,pink,black
edible,almond,broad,white,brown
edible,almond,narrow,pink,purple
edible,almond,broad,gray,brown
edible,none,broad,brown,black
edible,almond,broad,white,brown
edible,anise,broad,brown,black
edible,almond,broad,white,black
edible,none,narrow,brown,brown
edible,almond,broad,black,black
edible,anise,broad,brown,black
edible,none,narrow,black,black
edible,anise,broad,brown,brown
edible,anise,broad,black,brown
edible,almond,broad,black,brown
poisonous,pungent,narrow,pink,black
edible,none,broad,black,brown
edible,almond,broad,white,black
edible,almond,broad,gray,brown
edible,none,broad,brown,brown
poisonous,pungent,narrow,white,brown
edible,anise,broad,white,black
edible,none,broad,brown,black
edible,anise,broad,brown,black
edible,almond,broad,white,brown
edible,almond,broad,brown,brown
edible,anise,broad,gray,black
edible,almond,broad,brown,brown
edible,none,narrow,black,brown
edible,almond,broad,white,black
edible,none,broad,chocolate,brown
edible,anise,broad,black,brown
edible,anise,broad,white,brown
edible,none,narrow,brown,black
poisonous,pungent,narrow,pink,brown
edible,anise,broad,white,brown
edible,almond,broad,brown,black
poisonous,pungent,narrow,pink,brown
edible,anise,broad,white,brown
edible,anise,broad,black,brown
edible,anise,broad,brown,black
edible,anise,broad,brown,brown
edible,almond,broad,gray,brown
edible,almond,broad,gray,black
edible,anise,broad,white,brown
edible,almond,broad,white,brown
edible,none,broad,brown,black
edible,anise,broad,brown,brown
edible,anise,broad,brown,black
poisonous,pungent,narrow,black,black
edible,almond,broad,white,brown
edible,anise,narrow,pink,purple
poisonous,pungent,narrow,white,black
edible,anise,broad,black,black
edible,none,broad,chocolate,brown
edible,anise,broad,brown,black
edible,almond,broad,white,brown
poisonous,pungent,narrow,pink,brown
edible,anise,broad,white,black
edible,anise,broad,brown,brown
edible,almond,narrow,brown,brown
edible,almond,broad,brown,brown
edible,almond,broad,black,brown
edible,none,broad,pink,black
edible,none,narrow,brown,brown
edible,almond,broad,gray,brown
edible,anise,broad,brown,brown
edible,anise,broad,gray,brown
edible,anise,broad,white,black
edible,anise,narrow,brown,brown
edible,almond,broad,white,black
edible,almond,narrow,brown,purple
edible,anise,broad,gray,brown
edible,anise,broad,black,brown
edible,almond,broad,pink,brown
edible,anise,broad,brown,black
edible,anise,broad,gray,black
edible,almond,broad,pink,black
edible,anise,broad,brown,black
edible,anise,broad,white,black
edible,anise,broad,pink,black
edible,anise,broad,brown,brown
edible,anise,broad,brown,black
edible,anise,broad,white,black
edible,none,broad,brown,brown
edible,anise,broad,black,brown
edible,anise,broad,gray,black
edible,anise,broad,gray,black
edible,anise,narrow,pink,brown
edible,anise,broad,gray,brown
edible,none,broad,chocolate,black
edible,almond,broad,black,brown
edible,anise,broad,white,black
edible,almond,broad,brown,black
edible,almond,broad,white,brown
edible,almond,broad,black,brown
edible,anise,broad,brown,brown
edible,almond,broad,gray,black
edible,almond,broad,white,brown
edible,none,narrow,black,black
edible,almond,broad,pink,brown
edible,almond,broad,gray,black
edible,anise,broad,gray,black
edible,anise,broad,gray,black
edible,almond,broad,white,brown
edible,anise,broad,gray,black
edible,almond,broad,white,black
edible,almond,narrow,brown,purple
edible,none,narrow,black,black
edible,anise,narrow,brown,brown
edible,none,narrow,black,black
edible,none,narrow,pink,brown
edible,almond,broad,white,brown
edible,almond,narrow,pink,brown
edible,anise,broad,brown,black
edible,almond,broad,black,black
edible,anise,broad,gray,black
edible,anise,narrow,pink,purple
edible,none,narrow,gray,black
edible,almond,narrow,white,brown
edible,almond,broad,pink,black
edible,anise,broad,white,brown
edible,none,narrow,pink,brown
edible,anise,broad,brown,black
edible,almond,broad,brown,black
edible,almond,narrow,brown,purple
poisonous,pungent,narrow,pink,brown
poisonous,pungent,narrow,black,brown
edible,anise,broad,white,brown
edible,almond,broad,white,black
edible,almond,broad,black,brown
edible,none,broad,chocolate,brown
edible,almond,broad,pink,brown
edible,almond,broad,brown,brown
edible,anise,broad,white,black
edible,almond,broad,white,brown
edible,almond,broad,gray,black
edible,anise,broad,gray,black
edible,almond,broad,white,black
edible,almond,broad,white,brown
poisonous,pungent,narrow,brown,brown
edible,none,broad,pink,brown
edible,none,broad,pink,brown
edible,almond,narrow,brown,brown
edible,none,narrow,pink,brown
edible,none,narrow,black,brown
edible,almond,broad,black,black
edible,almond,narrow,brown,purple
edible,none,narrow,brown,brown
edible,none,narrow,black,brown
edible,none,broad,chocolate,brown
edible,anise,broad,brown,black
edible,almond,broad,black,black
edible,anise,broad,black,black
edible,almond,broad,black,brown
edible,anise,broad,white,black
edible,anise,broad,brown,black
edible,almond,broad,pink,brown
poisonous,pungent,narrow,brown,brown
edible,none,narrow,brown,black
edible,anise,broad,white,brown
edible,almond,broad,white,brown
edible,almond,broad,black,brown
edible,none,narrow,black,black
edible,almond,broad,white,brown
edible,almond,broad,brown,brown
edible,almond,broad,brown,black
poisonous,pungent,narrow,brown,black
edible,anise,broad,white,black
poisonous,pungent,narrow,black,black
edible,none,broad,black,black
edible,almond,broad,black,black
edible,none,narrow,pink,black
edible,anise,broad,gray,brown
edible,almond,narrow,pink,purple
edible,almond,broad,brown,black
edible,none,broad,pink,black
poisonous,pungent,narrow,brown,brown
edible,almond,broad,pink,black
edible,none,broad,brown,black
edible,almond,broad,white,black
edible,anise,broad,gray,brown
edible,none,narrow,gray,brown
edible,anise,narrow,pink,purple
edible,almond,broad,gray,brown
edible,none,narrow,brown,brown
edible,none,broad,chocolate,brown
edible,anise,broad,pink,black
edible,anise,narrow,pink,brown
edible,anise,broad,black,black
edible,almond,broad,pink,black
poisonous,pungent,narrow,black,black
edible,anise,narrow,white,purple
edible,anise,broad,white,black
edible,almond,broad,gray,brown
edible,almond,broad,gray,brown
edible,almond,narrow,white,purple
edible,almond,narrow,brown,purple
edible,none,broad,brown,black
edible,almond,broad,white,brown
poisonous,pungent,narrow,white,black
edible,almond,broad,gray,brown
edible,none,broad,black,black
poisonous,pungent,narrow,brown,brown
edible,almond,broad,white,black
edible,almond,broad,black,black
edible,anise,narrow,brown,brown
edible,almond,broad,black,black
edible,anise,broad,white,black
edible,almond,broad,white,brown
edible,anise,broad,white,brown
edible,none,narrow,pink,brown
edible,anise,broad,brown,brown
edible,anise,broad,white,brown
poisonous,pungent,narrow,white,brown
edible,almond,broad,gray,brown
edible,almond,broad,white,brown
edible,anise,broad,black,black
edible,almond,broad,brown,brown
edible,almond,broad,white,black
edible,almond,broad,black,brown
edible,none,narrow,gray,black
edible,none,narrow,brown,black
edible,none,narrow,brown,black
edible,almond,broad,brown,black
poisonous,pungent,narrow,black,black
edible,none,broad,chocolate,black
edible,anise,broad,gray,black
poisonous,pungent,narrow,black,brown
edible,almond,broad,gray,black
poisonous,pungent,narrow,pink,black
edible,anise,broad,brown,black
edible,anise,broad,gray,black
poisonous,pungent,narrow,pink,brown
poisonous,pungent,narrow,brown,black
edible,none,broad,brown,brown
edible,anise,broad,white,brown
edible,none,broad,black,brown
edible,anise,broad,brown,brown
edible,anise,broad,white,black
edible,almond,broad,brown,black
edible,none,broad,brown,brown
edible,almond,broad,brown,black
edible,anise,broad,white,black
edible,none,narrow,brown,black
edible,none,broad,chocolate,brown
edible,none,broad,brown,brown
edible,none,broad,pink,black
poisonous,pungent,narrow,black,brown
edible,anise,broad,pink,black
edible,anise,broad,gray,black
edible,none,broad,pink,black
edible,anise,broad,gray,black
edible,almond,broad,brown,brown
edible,none,narrow,brown,brown
edible,anise,broad,pink,black
edible,anise,broad,white,brown
edible,anise,narrow,brown,purple
edible,almond,broad,brown,black
edible,none,narrow,pink,black
edible,anise,broad,gray,black
edible,anise,narrow,white,purple
edible,none,narrow,pink,black
edible,almond,broad,gray,brown
edible,almond,broad,black,black
edible,none,broad,brown,brown
edible,almond,broad,black,black
edible,none,broad,brown,black
edible,anise,broad,brown,black
edible,almond,broad,pink,brown
edible,almond,broad,white,brown
edible,almond,broad,pink,black
edible,anise,broad,brown,black
edible,none,broad,chocolate,black
edible,almond,broad,gray,black
edible,anise,broad,white,black
edible,almond,broad,brown,brown
edible,anise,broad,white,black
edible,almond,broad,white,black
edible,anise,broad,brown,black
edible,anise,narrow,brown,purple
edible,almond,broad,gray,black
edible,anise,broad,black,black
edible,almond,broad,brown,black
edible,anise,narrow,pink,purple
edible,almond,broad,brown,black
edible,anise,broad,brown,brown
edible,almond,broad,white,black
poisonous,pungent,narrow,white,black
poisonous,pungent,narrow,white,black
edible,anise,broad,gray,brown
edible,none,broad,black,brown
edible,almond,broad,gray,black
edible,anise,broad,white,black
edible,none,narrow,black,brown
edible,almond,broad,brown,black
edible,anise,broad,black,black
poisonous,pungent,narrow,brown,black
poisonous,pungent,narrow,black,brown
edible,anise,broad,gray,brown
edible,almond,broad,white,brown
edible,almond,broad,white,brown
edible,anise,broad,pink,brown
edible,anise,broad,brown,brown
edible,almond,broad,white,brown
edible,almond,broad,black,black
edible,none,narrow,pink,brown
edible,none,broad,pink,black
edible,anise,narrow,white,purple
edible,anise,broad,white,brown
edible,none,narrow,gray,black
edible,none,narrow,black,brown
edible,anise,broad,brown,brown
edible,anise,broad,white,brown
edible,almond,broad,gray,black
edible,anise,narrow,brown,brown
edible,almond,broad,brown,brown
edible,almond,narrow,white,purple
edible,almond,broad,white,black
edible,none,broad,pink,brown
edible,almond,broad,gray,black
edible,none,narrow,black,black
edible,almond,broad,brown,brown
edible,anise,broad,white,black
edible,almond,broad,black,black
edible,almond,broad,white,black
edible,anise,broad,black,black
edible,almond,broad,pink,brown
edible,none,broad,black,brown
poisonous,pungent,narrow,pink,brown
edible,almond,broad,brown,brown
edible,almond,broad,white,brown
poisonous,pungent,narrow,white,black
poisonous,pungent,narrow,pink,brown
edible,none,broad,brown,brown
poisonous,pungent,narrow,white,black
edible,none,broad,chocolate,brown
edible,anise,broad,brown,black
edible,anise,broad,black,black
edible,anise,broad,pink,brown
edible,anise,broad,pink,black
edible,anise,broad,black,black
edible,none,narrow,pink,black
edible,almond,broad,black,brown
edible,almond,broad,gray,black
edible,almond,broad,white,black
edible,none,broad,pink,brown
edible,anise,broad,white,brown
edible,anise,broad,white,brown
edible,anise,broad,black,black
edible,almond,broad,brown,brown
edible,anise,broad,black,brown
edible,almond,broad,brown,black
edible,almond,broad,brown,brown
edible,none,narrow,gray,black
edible,almond,broad,brown,brown
edible,almond,broad,black,black
edible,anise,narrow,white,brown
edible,none,broad,pink,brown
edible,almond,broad,brown,black
poisonous,pungent,narrow,black,brown
edible,anise,broad,white,brown
edible,none,broad,chocolate,brown
edible,almond,broad,brown,brown
edible,anise,broad,white,black
edible,anise,broad,white,black
edible,none,broad,brown,brown
poisonous,pungent,narrow,black,brown
poisonous,pungent,narrow,pink,black
edible,anise,broad,gray,black
edible,almond,broad,white,brown
edible,almond,narrow,white,brown
poisonous,pungent,narrow,white,black
edible,anise,broad,gray,black
edible,none,narrow,pink,black
edible,none,narrow,pink,black
edible,almond,broad,brown,black
edible,almond,broad,pink,black
edible,almond,broad,black,brown
edible,anise,broad,brown,brown
edible,anise,broad,brown,brown
edible,anise,broad,white,brown
edible,almond,broad,white,black
poisonous,pungent,narrow,white,brown
edible,almond,narrow,brown,purple
edible,almond,broad,brown,brown
edible,anise,broad,black,brown
edible,almond,narrow,brown,purple
edible,anise,broad,white,black
edible,almond,broad,black,brown
edible,almond,broad,brown,black
edible,anise,broad,brown,brown
edible,none,broad,brown,brown
edible,almond,broad,white,brown
edible,almond,broad,brown,black
edible,anise,broad,gray,brown
edible,anise,broad,pink,black
edible,anise,broad,gray,brown
edible,none,narrow,gray,brown
edible,anise,broad,white,black
edible,none,broad,black,black
edible,anise,narrow,pink,brown
edible,none,narrow,gray,brown
edible,almond,broad,gray,brown
edible,almond,broad,black,black
edible,almond,broad,white,brown
edible,anise,broad,black,brown
edible,almond,broad,black,black
edible,almond,narrow,pink,brown
edible,none,broad,chocolate,black
edible,almond,broad,pink,brown
poisonous,pungent,narrow,black,brown
edible,almond,broad,pink,brown
edible,anise,broad,brown,brown
edible,anise,broad,white,brown
edible,almond,broad,white,black
edible,none,narrow,gray,black
edible,anise,broad,white,black
edible,anise,broad,brown,black
edible,almond,broad,white,black
poisonous,pungent,narrow,white,black
edible,none,narrow,brown,black
edible,anise,broad,white,brown
poisonous,pungent,narrow,black,brown
edible,anise,broad,pink,black
edible,anise,broad,black,brown
edible,anise,broad,pink,black
edible,almond,broad,black,black
edible,almond,broad,brown,brown
poisonous,pungent,narrow,pink,brown
poisonous,pungent,narrow,brown,brown
edible,anise,broad,brown,black
edible,none,broad,chocolate,black
poisonous,pungent,narrow,black,brown
edible,anise,broad,white,brown
edible,almond,broad,brown,black
edible,almond,broad,white,brown
poisonous,pungent,narrow,brown,brown
edible,anise,broad,white,black
edible,almond,broad,black,brown
edible,anise,broad,white,black
edible,almond,broad,black,black
edible,almond,broad,pink,black
edible,anise,broad,brown,brown
edible,anise,narrow,pink,brown
edible,almond,broad,gray,black
edible,almond,broad,brown,black
poisonous,pungent,narrow,pink,black
poisonous,pungent,narrow,white,brown
poisonous,pungent,narrow,black,black
edible,almond,broad,brown,black
edible,almond,broad,pink,black
edible,almond,broad,brown,black
edible,almond,narrow,white,brown
edible,anise,broad,black,brown
edible,anise,broad,white,brown
edible,none,narrow,black,black
edible,almond,broad,brown,black
edible,anise,broad,gray,brown
edible,almond,broad,white,black
edible,anise,broad,white,black
edible,anise,narrow,brown,brown
edible,almond,narrow,white,purple
edible,anise,broad,gray,brown
edible,anise,narrow,pink,purple
edible,none,narrow,pink,black
edible,almond,narrow,white,brown
edible,anise,broad,pink,black
edible,anise,broad,white,brown
edible,anise,broad,pink,brown
poisonous,pungent,narrow,black,brown
edible,anise,broad,brown,brown
poisonous,pungent,narrow,pink,brown
edible,almond,broad,white,black
edible,almond,broad,white,black
edible,almond,narrow,white,purple
poisonous,pungent,narrow,white,brown
edible,almond,broad,brown,brown
edible,none,narrow,brown,black
edible,almond,broad,gray,black
edible,none,broad,black,brown
edible,almond,broad,brown,brown
edible,anise,broad,gray,brown
edible,anise,broad,black,brown
edible,anise,narrow,white,purple
edible,anise,broad,black,brown
edible,almond,broad,pink,black
edible,none,narrow,gray,brown
edible,none,broad,pink,brown
edible,none,narrow,brown,black
edible,anise,broad,pink,black
edible,anise,narrow,brown,purple
edible,almond,broad,brown,brown
edible,almond,broad,black,black
poisonous,pungent,narrow,pink,black
edible,anise,broad,white,brown
edible,almond,broad,white,brown
edible,almond,broad,pink,brown
edible,almond,broad,gray,brown
edible,almond,broad,white,brown
edible,anise,broad,black,black
edible,none,narrow,brown,brown
edible,anise,broad,pink,brown
edible,none,narrow,pink,brown
edible,anise,broad,black,brown
edible,almond,broad,pink,black
edible,anise,broad,white,brown
edible,almond,broad,black,brown
edible,none,broad,brown,black
edible,almond,broad,brown,brown
edible,anise,broad,pink,brown
edible,almond,broad,black,brown
edible,anise,broad,black,black
edible,anise,broad,white,brown
edible,anise,broad,brown,brown
edible,almond,narrow,white,brown
edible,none,broad,brown,brown
edible,almond,broad,white,black
edible,anise,broad,brown,black
edible,anise,broad,brown,black
edible,almond,narrow,pink,purple
edible,almond,broad,brown,brown
edible,almond,broad,brown,brown
edible,almond,broad,white,black
edible,anise,broad,gray,brown
edible,none,broad,purple,brown
edible,anise,broad,pink,black
edible,almond,broad,brown,black
edible,almond,broad,gray,brown
edible,anise,broad,black,brown
edible,anise,broad,pink,brown
edible,almond,broad,black,black
edible,anise,broad,black,black
edible,anise,broad,black,black
edible,anise,broad,brown,black
edible,anise,broad,brown,black
edible,none,broad,brown,brown
edible,none,broad,pink,black
edible,none,broad,chocolate,brown
edible,anise,broad,white,brown
edible,none,broad,pink,black
poisonous,pungent,narrow,brown,black
edible,none,broad,pink,brown
poisonous,pungent,narrow,pink,brown
poisonous,pungent,narrow,white,brown
edible,anise,broad,black,black
edible,none,broad,pink,black
edible,anise,broad,gray,black
edible,none,broad,brown,black
edible,none,broad,black,black
edible,almond,broad,black,brown
edible,anise,broad,brown,brown
edible,none,broad,brown,brown
edible,none,broad,black,brown
edible,none,broad,chocolate,black
edible,none,broad,pink,black
edible,none,broad,pink,brown
edible,anise,broad,brown,black
edible,anise,narrow,white,purple
edible,none,broad,black,brown
edible,none,broad,chocolate,brown
edible,none,broad,black,black
poisonous,pungent,narrow,white,black
edible,none,narrow,black,brown
edible,almond,broad,brown,brown
edible,none,broad,chocolate,black
edible,none,broad,brown,brown
poisonous,pungent,narrow,brown,brown
edible,anise,broad,black,brown
edible,none,narrow,brown,black
edible,none,broad,pink,black
edible,almond,broad,white,black
edible,none,broad,pink,black
edible,none,broad,brown,black
edible,none,broad,purple,brown
edible,almond,broad,brown,brown
edible,none,broad,brown,black
poisonous,pungent,narrow,white,brown
edible,none,broad,pink,brown
edible,none,broad,brown,brown
edible,none,broad,chocolate,brown
edible,none,broad,brown,black
edible,anise,broad,white,black
edible,none,broad,brown,black
poisonous,pungent,narrow,white,brown
poisonous,pungent,narrow,white,brown
edible,anise,broad,brown,black
edible,none,broad,chocolate,brown
edible,none,broad,brown,brown
edible,none,broad,chocolate,brown
edible,anise,broad,black,black
poisonous,pungent,narrow,white,black
edible,none,broad,brown,black
